"ageb","pobtot","pobest2016","bebesest2016"
"0012",1775,1842,13
"0027",2565,2662,19
"0031",3604,3741,27
"0046",5634,5848,42
"0050",3894,4042,29
"0065",5788,6008,43
"0084",2844,2952,21
"0099",4239,4400,31
"0101",1531,1589,11
"0116",4258,4420,31
"0135",10874,11287,80
"014A",4571,4745,34
"0169",3008,3122,22
"0173",4751,4932,35
"0188",666,691,5
"0192",742,770,5
"0205",528,548,4
"021A",644,668,5
"0224",542,563,4
"0239",1105,1147,8
"0243",8431,8751,62
"0258",737,765,5
"0262",494,513,4
"0277",461,479,3
"0281",302,313,2
"0296",2944,3056,22
"0309",3676,3816,27
"0313",6163,6397,45
"0328",8046,8352,59
"0332",4733,4913,35
"0347",3766,3909,28
"0351",4317,4481,32
"0370",3291,3416,24
"0385",3167,3287,23
"0417",2247,2332,17
"0421",5967,6194,44
"0440",5038,5229,37
"0455",3372,3500,25
"0474",10511,10910,77
"0489",4135,4292,30
"0493",4770,4951,35
"0506",2998,3112,22
"0510",2980,3093,22
"0525",2289,2376,17
"053A",4970,5159,37
"0544",2845,2953,21
"0559",2180,2263,16
"0563",9360,9716,69
"0578",6934,7197,51
"0597",3985,4136,29
"060A",2701,2804,20
"0614",2005,2081,15
"0629",2676,2778,20
"0633",1894,1966,14
"0648",1627,1689,12
"0667",4771,4952,35
"0671",2991,3105,22
"0686",2637,2737,19
"0690",3828,3973,28
"0703",1922,1995,14
"0718",969,1006,7
"0722",2256,2342,17
"0737",673,699,5
"0741",3406,3535,25
"0756",1502,1559,11
"0760",849,881,6
"0775",1461,1517,11
"078A",1147,1191,8
"0794",773,802,6
"0807",1904,1976,14
"0811",1054,1094,8
"0826",845,877,6
"0830",898,932,7
"0845",1408,1461,10
"0864",5690,5906,42
"0898",2312,2400,17
"0900",2599,2698,19
"0915",2984,3097,22
"092A",2254,2340,17
"0949",1034,1073,8
"0953",1750,1816,13
"0968",3285,3410,24
"0972",2568,2666,19
"0987",1716,1781,13
"0991",2654,2755,20
"1006",2732,2836,20
"1010",2560,2657,19
"1025",474,492,3
"103A",2103,2183,15
"1044",3097,3215,23
"1059",2673,2775,20
"1063",2508,2603,18
"1078",6026,6255,44
"110A",3552,3687,26
"1114",1159,1203,9
"1129",1370,1422,10
"1133",2019,2096,15
"1148",5113,5307,38
"1152",2678,2780,20
"1171",13351,13858,98
"1186",3068,3185,23
"1190",3184,3305,23
"1203",248,257,2
"1218",1652,1715,12
"1222",4162,4320,31
"1237",4047,4201,30
"1241",4498,4669,33
"1260",3368,3496,25
"1275",2870,2979,21
"128A",2332,2421,17
"1294",3232,3355,24
"1307",2015,2092,15
"1330",7665,7956,56
"1345",7849,8147,58
"135A",6529,6777,48
"1364",5744,5962,42
"1379",904,938,7
"1434",5422,5628,40
"1453",5214,5412,38
"1468",2505,2600,18
"1472",4214,4374,31
"1487",4207,4367,31
"1519",4697,4875,35
"1523",3673,3813,27
"1542",1642,1704,12
"1557",6184,6419,46
"1561",2642,2742,19
"1580",6923,7186,51
"1595",5743,5961,42
"1627",5687,5903,42
"1631",5312,5514,39
"1646",5279,5480,39
"1650",4960,5148,37
"1665",2702,2805,20
"167A",7452,7735,55
"1684",4995,5185,37
"1699",6677,6931,49
"1716",7029,7296,52
"1720",3014,3129,22
"1735",8419,8739,62
"174A",8319,8635,61
"1754",2888,2998,21
"1769",7285,7562,54
"1773",4657,4834,34
"1788",4201,4361,31
"1792",2952,3064,22
"1805",3887,4035,29
"181A",5583,5795,41
"1824",5001,5191,37
"1839",5213,5411,38
"1843",7999,8303,59
"1858",10926,11341,81
"1881",3364,3492,25
"1913",3857,4004,28
"1928",2324,2412,17
"1932",2541,2638,19
"1947",4512,4683,33
"1951",4701,4880,35
"1966",3288,3413,24
"1970",4163,4321,31
"1985",4261,4423,31
"199A",3391,3520,25
"2004",0,0,0
"2019",2998,3112,22
"2023",3993,4145,29
"2038",3684,3824,27
"2042",3732,3874,28
"2057",4586,4760,34
"2061",6415,6659,47
"2076",2688,2790,20
"2080",2599,2698,19
"2095",5291,5492,39
"2108",4291,4454,32
"2112",9556,9919,70
"2131",1847,1917,14
"2146",2652,2753,20
"2150",4498,4669,33
"2165",3529,3663,26
"2184",2501,2596,18
"2199",5227,5426,39
"2201",2830,2938,21
"2216",3253,3377,24
"2220",3397,3526,25
"2235",4172,4331,31
"224A",3113,3231,23
"2254",4367,4533,32
"2269",1758,1825,13
"2273",52,54,0
"2288",5792,6012,43
"2292",5342,5545,39
"2305",3566,3701,26
"231A",2784,2890,21
"2324",2789,2895,21
"2339",2303,2391,17
"2343",5393,5598,40
"2358",2250,2335,17
"2362",2390,2481,18
"2377",2563,2660,19
"2381",61,63,0
